City	Shape	CountofShape
San Saba	Light	1
San Saba	Formation	2
San Marcos	Unknown	1
San Marcos	Triangle	8
San Marcos	Teardrop	1
San Marcos	Rectangle	2
San Marcos	Oval	2
San Marcos	Other	1
San Marcos	Light	4
San Marcos	Formation	1
San Marcos	Disk	1
San Marcos	Diamond	1
San Marcos	Cylinder	2
San Marcos	Chevron	2
San Manuel	Circle	1
San Juan	Unknown	1
San Juan	Triangle	1
San Isidro	Oval	1
San Gabriel	Oval	1
San Francisco	Triangle	1
San Elizario	Disk	1
San Diego	Unknown	1
San Diego	Rectangle	1
San Benito	Triangle	1
San Benito	Other	1
San Benito	Circle	2
San Benito	Chevron	1
San Antonio	Unknown	14
San Antonio	Triangle	29
San Antonio	Teardrop	2
San Antonio	Sphere	18
San Antonio	Rectangle	4
San Antonio	Oval	11
San Antonio	Other	20
San Antonio	Light	40
San Antonio	Formation	8
San Antonio	Flash	3
San Antonio	Fireball	18
San Antonio	Egg	3
San Antonio	Disk	17
San Antonio	Diamond	5
San Antonio	Cylinder	2
San Antonio	Circle	19
San Antonio	Cigar	8
San Antonio	Chevron	5
San Antonio	Changing	8
San Angelo	Unknown	3
San Angelo	Triangle	1
San Angelo	Sphere	2
San Angelo	Oval	4
San Angelo	Other	3
San Angelo	Light	6
San Angelo	Formation	1
San Angelo	Flash	2
San Angelo	Fireball	2
San Angelo	Cylinder	1
San Angelo	Circle	2
San Angelo	Chevron	1
Salt Lake City	Disk	1
Salado	Other	1
Salado	Light	1
Salado	Formation	1
Saginaw	Fireball	1
Sachse	Sphere	2
Sachse	Other	1
Sachse	Light	1
Sabine Pass	Light	1
Rye	Oval	1
Runge	Sphere	1
Royse City	Light	2
Royse City	Formation	1
Royse City	Disk	1
Royce City	Oval	1
Rowlett, Sachse	Sphere	1
Rowlett	Unknown	1
Rowlett	Rectangle	1
Rowlett	Other	1
Rowlett	Fireball	1
Rowlett	Egg	1
Rowlett	Disk	2
Rowlett	Circle	2
Round Rock	Unknown	2
Round Rock	Triangle	2
Round Rock	Teardrop	1
Round Rock	Sphere	5
Round Rock	Rectangle	1
Round Rock	Oval	3
Round Rock	Other	3
Round Rock	Light	13
Round Rock	Flash	1
Round Rock	Fireball	3
Round Rock	Egg	1
Round Rock	Disk	2
Round Rock	Diamond	1
Round Rock	Cross	1
Round Rock	Cone	1
Round Rock	Circle	4
Round Rock	Changing	3
Round Mountain	Sphere	1
Round Mountain	Light	1
Rotan	Sphere	1
Rotan	Oval	1
Rosenberg	Other	1
Rosebud	Oval	1
Roscoe and Ft. Justice	Cigar	1
Rosanky	Fireball	1
Romayor	Fireball	1
Rockwall	Rectangle	2
Rockwall	Other	2
Rockwall	Light	1
Rocksprings	Unknown	1
Rockport-Fulton	Other	1
Rockport	Other	1
Rockport	Light	1
Rockport	Disk	1
Rockport	Changing	1
Rockne	Other	1
Rockdale	Triangle	1
Rockdale	Other	1
Rochelle	Light	1
Robstown	Sphere	1
Robstown	Oval	1
Robstown	Circle	1
Robstown	Cigar	1
Robinson	Light	1
Robinson	Circle	1
Robertson County	Other	1
Robbins	Circle	1
Roasharon	Light	1
Roanoke	Unknown	1
Road	Diamond	1
Riverside	Formation	1
Riverside	Circle	1
River Oaks	Unknown	1
Rising Star	Light	1
Rio Hondo	Oval	1
Rio Hondo	Light	1
Rio Hondo	Circle	1
Rio Grande City	Cigar	1
Riesel	Sphere	1
Richwood	Fireball	1
Richmond	Unknown	1
Richmond	Triangle	1
Richmond	Oval	1
Richmond	Light	1
Richmond	Circle	1
Richland Hills	Triangle	1
Richardson	Unknown	3
Richardson	Triangle	4
Richardson	Sphere	1
Richardson	Oval	2
Richardson	Other	1
Richardson	Light	3
Richardson	Formation	1
Richardson	Fireball	1
Richardson	Disk	2
Richardson	Diamond	1
Richardson	Circle	1
Ricardo	Other	1
Rhome	Unknown	1
Rhome	Oval	1
Retreat	Disk	1
Reno to Dallas	Triangle	1
Reno	Triangle	1
Red Oak	Triangle	1
Red Oak	Other	1
Real County	Triangle	1
Reagan	Light	1
Rankin	Oval	1
Ranger	Light	2
Randolph AFB	Disk	1
Rancho Viejo	Teardrop	1
Rancho Viejo	Formation	1
Rancho Viejo	Circle	1
Rancho Viejo	Chevron	1
Quitman	Changing	1
Quinlan	Formation	1
Quinlan	Cigar	1
Pyote	Triangle	1
Providence Village	Light	1
Progresso	Unknown	1
Princeton	Teardrop	1
Princeton	Light	1
Princeton	Flash	1
Princeton	Diamond	1
Presidio	Other	1
Presidio	Formation	1
Pottsboro	Other	1
Pottsboro	Light	2
Poth	Triangle	1
Poteet	Sphere	1
Post	Unknown	1
Post	Light	3
Post	Disk	1
Portland	Teardrop	1
Portland	Sphere	1
Portland	Light	1
Portland	Circle	1
Porter	Triangle	1
Porter	Other	1
Porter	Light	1
Porter	Fireball	1
Port Neches	Unknown	2
Port Neches	Other	1
Port Neches	Light	4
Port Neches	Cigar	1
Port Mansfield	Cone	1
Port Isabel	Oval	1
Port Isabel	Disk	3
Port Isabel	Cylinder	1
Port Isabel	Circle	1
Port Arthur	Light	1
Port Arthur	Cigar	1
Port Aransas	Triangle	1
Port Aransas	Other	2
Port Aransas	Light	2
Pollock	Other	1
Pollock	Cigar	1
Plum Grove	Circle	1
Pleasanton	Unknown	1
Pleasanton	Flash	1
Pleasanton	Circle	1
Pleasanton	Cigar	1
Plano	Unknown	11
Plano	Triangle	2
Plano	Sphere	5
Plano	Rectangle	1
Plano	Oval	2
Plano	Other	3
Plano	Light	12
Plano	Formation	1
Plano	Fireball	3
Plano	Disk	3
Plano	Cylinder	1
Plano	Cone	1
Plano	Circle	4
Plano	Cigar	1
Plano	Changing	1
Plan	Triangle	1
Plainview	Triangle	1
Plainview	Other	1
Plainview	Egg	1
Pittsburg	Unknown	1
Pittsburg	Light	2
Pipe Creek	Sphere	1
Pipe Creek	Light	1
Pinehurst	Light	2
Pinehurst	Circle	1
Pine Springs	Light	1
Pilot Point	Teardrop	1
Pilot Point	Rectangle	1
Pilot Point	Formation	1
Pierce	Light	1
Pidcoke	Triangle	1
Pharr	Fireball	1
Pharr	Chevron	1
Pflugerville	Sphere	1
Pflugerville	Light	4
Pflugerville	Formation	2
Pflugerville	Fireball	1
Pflugerville	Chevron	1
Petersburg	Flash	1
Perryville	Teardrop	1
Percilla	Light	1
Pep	Fireball	1
Pennington	Diamond	1
Pecos	Light	1
Pecos	Disk	1
Pecos	Circle	1
Pecos	Chevron	1
Peaster	Unknown	1
Peaster	Cigar	1
Pearsall	Triangle	1
Pearland	Sphere	4
Pearland	Oval	1
Pearland	Other	2
Pearland	Light	3
Pearland	Fireball	3
Pearland	Cone	1
Pearland	Circle	3
Pearland	Cigar	1
Payne Springs	Flash	1
Pattonville	Light	1
Patricia	Unknown	1
Pasadena	Unknown	1
Pasadena	Sphere	1
Pasadena	Rectangle	1
Pasadena	Light	3
Pasadena	Flash	1
Pasadena	Disk	1
Pasadena	Circle	1
Pasadena	Cigar	1
Paris	Unknown	1
Paris	Triangle	3
Paris	Sphere	1
Paris	Other	1
Paris	Light	1
Paris	Disk	1
Paris	Cigar	1
Pantego	Circle	1
Panhandle	Unknown	1
Panhandle	Diamond	1
Pampa	Triangle	1
Pampa	Other	1
Pampa	Light	3
Pampa	Fireball	1
Palestine	Unknown	1
Palestine	Triangle	1
Palestine	Teardrop	2
Palestine	Oval	1
Palestine	Other	1
Palestine	Light	2
Palacios	Cylinder	1
Paint Rock	Unknown	1
Paint Rock	Light	1
Ozona	Light	1
Ozona	Cone	1
Ovilla	Light	1
Overton	Other	1
Overton	Circle	1
Ovalo	Oval	1
Ore City	Circle	1
Orange Grove	Rectangle	1
Orange Grove	Circle	1
Orange	Triangle	1
Orange	Oval	1
Orange	Other	1
Orange	Formation	1
Orange	Diamond	1
Orange	Cigar	1
Omaha	Formation	1
Old Town Katy	Light	1
Old River-Winfree	Sphere	1
Oklahoma	Cigar	1
Odessa	Unknown	3
Odessa	Triangle	1
Odessa	Rectangle	1
Odessa	Oval	1
Odessa	Other	3
Odessa	Formation	1
Odessa	Fireball	1
Odessa	Disk	6
Odessa	Diamond	2
Odessa	Cylinder	1
Odessa	Circle	2
Odessa	Cigar	1
Oakwood	Triangle	1
Oakwood	Light	1
Oakhill	Circle	1
Oak Cliff	Disk	3
Oak Cliff	Circle	1
Nuevo Laredo	Formation	1
Notrees	Light	1
not sure	Triangle	1
Northeastern	Cone	1
North Zulch	Light	1
North Zulch	Circle	1
North Texas	Fireball	1
North Richland Hills	Teardrop	1
North Richland Hills	Sphere	1
North Richland Hills	Oval	1
North Richland Hills	Light	4
North Richland Hills	Disk	1
North Richland Hills	Cylinder	1
North Richland Hills	Cross	1
North Houston	Unknown	1
North Dallas	Egg	1
North Dallas	Circle	1
none	Sphere	1
none	Other	1
Nolanville	Oval	1
Nolanville	Disk	1
Nocona	Sphere	1
Noack	Rectangle	1
Nixon	Disk	2
Nixon	Circle	1
Newton	Fireball	1
Newport	Circle	1
Newark	Triangle	1
Newark	Disk	1
Newark	Circle	1
New Waverly	Other	1
New Gulf	Triangle	1
New Caney	Formation	1
New Caney	Fireball	1
New Caney	Circle	1
New Braunfels	Unknown	1
New Braunfels	Triangle	3
New Braunfels	Teardrop	1
New Braunfels	Oval	3
New Braunfels	Other	2
New Braunfels	Light	4
New Braunfels	Formation	1
New Braunfels	Fireball	1
New Braunfels	Disk	1
New Braunfels	Circle	2
New Boston	Unknown	1
New Boston	Oval	1
New Boston	Light	2
New Boston	Egg	1
Nevada	Unknown	1
Nevada	Light	1
Needville	Light	1
Needville	Fireball	1
Nederland	Light	1
Nederland	Flash	1
Nederland	Chevron	1
Navasota	Light	1
Navasota	Flash	1
Natalia	Sphere	1
Natalia	Other	1
Natalia	Light	1
Nassau Bay	Oval	1
Nashville	Unknown	1
NASA-INTERNET TV	Disk	1
Nacogdoches	Unknown	2
Nacogdoches	Triangle	1
Nacogdoches	Sphere	1
Nacogdoches	Rectangle	1
Nacogdoches	Other	1
Nacogdoches	Light	6
Nacogdoches	Formation	1
Nacogdoches	Fireball	1
Nacogdoches	Circle	1
Nacogdoches	Chevron	1
Myers Spring Canyon	Circle	1
Murphy	Rectangle	1
Murphy	Oval	1
Murphy	Flash	1
Muenster	Unknown	1
Muenster	Egg	1
Mt. Vernon	Oval	1
Mt. Springs	Other	1
Mt. Springs	Cigar	1
Mt. Pleasant	Unknown	1
Mt. Pleasant	Fireball	1
Mount Pleasant	Sphere	1
Motley	Diamond	1
Mosheim	Disk	1
Morton	Sphere	1
Morgans Point Resort	Circle	1
Morgan Mill	Light	1
Moravia	Light	1
Moran	Flash	1
Moore	Formation	1
Moody	Other	1
Moody	Disk	1
Montgomery	Unknown	1
Montgomery	Triangle	2
Montgomery	Sphere	1
Montgomery	Light	2
Montgomery	Fireball	1
Montgomery	Disk	2
Montgomery	Cylinder	1
Montgomery	Circle	3
Monaville	Changing	1
Monahans	Unknown	1
Missouri City	Oval	1
Missouri City	Formation	1
Missouri City	Flash	1
Missouri City	Fireball	1
Mission	Triangle	1
Mission	Disk	1
Mission	Circle	1
Mineral Wells	Rectangle	2
Mineola	Unknown	1
Mineola	Other	3
Mineola	Light	1
Mineola	Egg	1
Mineola	Circle	1
Millsap	Disk	1
Millsap	Cigar	1
Millican	Light	1
Millersville	Light	1
Midlothian	Triangle	1
Midlothian	Formation	1
Midland	Unknown	2
Midland	Triangle	1
Midland	Sphere	2
Midland	Oval	2
Midland	Light	6
Midland	Formation	2
Midland	Disk	3
Midland	Cross	1
Midland	Cigar	2
Midland	Changing	1
middle of desert	Light	1
Mico	Formation	1
Miami	Triangle	2
Mexia	Oval	1
Mexia	Fireball	1
Mexia	Egg	1
Mesquite	Unknown	5
Mesquite	Triangle	2
Mesquite	Teardrop	1
Mesquite	Sphere	2
Mesquite	Rectangle	1
Mesquite	Oval	1
Mesquite	Other	3
Mesquite	Light	1
Mesquite	Disk	1
Mesquite	Cylinder	2
Mesquite	Circle	3
Merkel	Disk	1
Meridian	Fireball	1
Mercedes	Oval	1
Mercedes	Light	1
Mercedes	Cigar	1
Menard	Light	1
Memphis	Triangle	1
Memphis	Sphere	1
Memphis	Rectangle	1
Melissa	Other	1
Megargel	Unknown	1
Medina Lake	Oval	1
Medina	Light	2
McKinney	Unknown	4
McKinney	Triangle	1
McKinney	Sphere	1
McKinney	Rectangle	1
McKinney	Oval	2
McKinney	Other	2
McKinney	Light	13
McKinney	Fireball	1
McKinney	Cylinder	1
McKinney	Circle	3
McKinney	Cigar	1
McGregor	Sphere	1
McGregor	Other	1
McDonald Observatory	Light	1
McCamey	Oval	3
McAllen	Teardrop	1
McAllen	Sphere	2
McAllen	Oval	1
McAllen	Other	1
McAllen	Light	2
McAllen	Flash	1
McAllen	Disk	4
McAllen	Circle	2
Maypearl	Unknown	2
Mauriceville	Light	1
Mauriceville	Disk	1
Maud	Triangle	1
Mathis	Circle	1
Matagorda	Other	2
Mason	Oval	1
Mason	Light	1
Martindale	Changing	1
Marshall	Teardrop	2
Marshall	Sphere	1
Marshall	Light	1
Marshall	Disk	1
Marfa	Triangle	2
Marfa	Rectangle	1
Marfa	Oval	1
Marfa	Circle	1
Marfa	Cigar	1
Marble Falls	Light	1
Marble Falls	Circle	1
Mansfield and Terrell	Light	1
Mansfield	Unknown	2
Mansfield	Triangle	2
Mansfield	Rectangle	1
Mansfield	Oval	1
Mansfield	Other	1
Mansfield	Light	4
Mansfield	Flash	1
Mansfield	Disk	2
Mansfield	Cylinder	1
Mansfield	Circle	2
Manor	Unknown	1
Manor	Light	2
Magnolia	Sphere	1
Magnolia	Other	1
Magnolia	Light	2
Magnolia	Disk	1
Mabank	Triangle	1
Mabank	Oval	1
Mabank	Other	1
Mabank	Light	1
Lumberton	Unknown	1
Lumberton	Sphere	1
Lumberton	Light	3
Lumberton	Disk	1
Luling	Sphere	1
Lufkin	Teardrop	1
Lufkin	Other	1
Lufkin	Light	2
Lufkin	Disk	1
Lufkin	Delta	1
Lufkin	Circle	2
Lufkin	Chevron	1
Lucas	Other	1
Lubbock	Unknown	2
Lubbock	Triangle	6
Lubbock	Teardrop	1
Lubbock	Sphere	2
Lubbock	Rectangle	3
Lubbock	Oval	2
Lubbock	Other	7
Lubbock	Light	7
