City	MonthofDate	Shape	CountofShape
Van Horn	September 2015	Teardrop	1
Brazoria	September 2015	Formation	1
Mansfield	September 2015	Circle	1
Waco	September 2015	Light	1
Irving	September 2015	Unknown	1
Spring	September 2015	Cigar	1
Garland	September 2015	Unknown	1
Round Rock	September 2015	Disk	1
Corpus Christi	September 2015	*	2
El Paso	September 2015	*	2
Dallas	September 2015	Other	1
Houston	September 2015	Other	1
Pilot Point	August 2015	Formation	1
Mercedes	August 2015	Light	1
Colleyville	August 2015	Other	1
Carrollton	August 2015	Unknown	1
Lewisville	August 2015	Circle	1
Wichita Falls	August 2015	Diamond	1
College Station	August 2015	Light	1
Galveston	August 2015	Triangle	1
Amarillo	August 2015	Formation	1
Dallas	August 2015	Light	1
Seabrook	July 2015	Formation	1
Kyle	July 2015	Other	1
Hutto	July 2015	Triangle	1
Coppell	July 2015	Unknown	1
Sugar Land	July 2015	Fireball	1
Haltom City	July 2015	Circle	1
Irving	July 2015	Rectangle	1
Dallas	July 2015	Oval	1
Houston	July 2015	Unknown	1
Pollock	June 2015	Cigar	1
Little Elm	June 2015	Light	1
Royse City	June 2015	Light	1
Beeville	June 2015	Unknown	1
Flower Mound	June 2015	Cigar	1
Bertram	June 2015	Light	1
Keller	June 2015	Circle	1
Mansfield	June 2015	Disk	1
Pearland	June 2015	Other	1
Cypress	June 2015	Sphere	1
Dallas	June 2015	*	2
San Antonio	June 2015	*	2
Austin	June 2015	*	2
Houston	June 2015	Unknown	1
Texas	May 2015	Circle	1
Big Spring	May 2015	Oval	1
Katy	May 2015	*	2
Fort Worth	May 2015	Light	1
Dallas	May 2015	*	3
Austin	May 2015	*	2
Whitehouse	April 2015	Triangle	1
Haslet	April 2015	Formation	1
Marfa	April 2015	Triangle	1
Kingwood	April 2015	Fireball	1
Montgomery	April 2015	Circle	1
Frisco	April 2015	Circle	1
Midland	April 2015	Sphere	1
Mesquite	April 2015	Other	1
Galveston	April 2015	Oval	1
Katy	April 2015	Circle	1
Fort Worth	April 2015	*	2
El Paso	April 2015	*	2
Houston	April 2015	Oval	1
Shady Grove	March 2015	Circle	1
Ft. Stockton	March 2015	Circle	1
Spring Branch	March 2015	Unknown	1
Orange Grove	March 2015	Circle	1
Miami	March 2015	Triangle	1
Gladewater	March 2015	Unknown	1
Coleman	March 2015	Light	1
Santa Fe	March 2015	*	2
Angleton	March 2015	Oval	1
Paris	March 2015	Triangle	1
Texas City	March 2015	Unknown	1
Nacogdoches	March 2015	Light	1
Conroe	March 2015	Other	1
College Station	March 2015	Light	1
Plano	March 2015	Changing	1
Dallas	March 2015	Circle	1
San Antonio	March 2015	Teardrop	1
Austin	March 2015	Triangle	1
Walburg	February 2015	Cigar	1
Frost	February 2015	Light	1
Big Wells	February 2015	Cigar	1
Stafford	February 2015	Circle	1
Helotes	February 2015	Chevron	1
Webster	February 2015	Other	1
Frisco	February 2015	Light	1
Midland	February 2015	Disk	1
Round Rock	February 2015	Fireball	1
Desoto	January 2015	Sphere	1
Sanger	January 2015	Other	1
Hughes Springs	January 2015	Circle	2
Salado	January 2015	Light	1
Henderson	January 2015	Triangle	1
Lexington	January 2015	Unknown	1
Converse	January 2015	Oval	1
Bandera	January 2015	Triangle	1
Buda	January 2015	Oval	1
Victoria	January 2015	Unknown	1
Unknown	January 2015	Light	1
Irving	January 2015	Light	1
College Station	January 2015	Oval	1
Spring	January 2015	Fireball	2
El Paso	January 2015	Light	1
San Antonio	January 2015	*	4
Austin	January 2015	*	3
Houston	January 2015	*	2
Porter	December 2014	Light	1
Harlingen	December 2014	Light	1
Colleyville	December 2014	Other	1
Cedar Park	December 2014	Unknown	1
Pearland	December 2014	Sphere	1
Baytown	December 2014	Other	1
Waco	December 2014	Light	1
College Station	December 2014	Sphere	1
Spring	December 2014	Chevron	1
Arlington	December 2014	Unknown	1
El Paso	December 2014	Unknown	1
San Antonio	December 2014	*	2
Houston	December 2014	Sphere	1
Riverside	November 2014	Formation	1
Woodlands	November 2014	Fireball	1
Newark	November 2014	Triangle	1
Holland	November 2014	Circle	1
Brenham	November 2014	Oval	1
Kemah	November 2014	Other	1
Edinburg	November 2014	Circle	1
Sulphur Springs	November 2014	Oval	1
Nacogdoches	November 2014	Light	1
Humble	November 2014	Rectangle	1
Pearland	November 2014	Circle	1
Allen	November 2014	Triangle	1
San Marcos	November 2014	Chevron	1
San Angelo	November 2014	Oval	1
Spring	November 2014	*	2
Dallas	November 2014	*	2
San Antonio	November 2014	Other	1
Houston	November 2014	*	2
Cross Plains	October 2014	Flash	1
Valley View	October 2014	Light	1
Ferris	October 2014	Fireball	1
Schulenburg	October 2014	Circle	1
Rio Hondo	October 2014	Light	1
Gainesville	October 2014	Triangle	1
Woodville	October 2014	Sphere	1
Richmond	October 2014	Light	1
Celina	October 2014	Circle	1
Mineola	October 2014	Other	1
Granbury	October 2014	Triangle	1
Port Neches	October 2014	Other	1
Rowlett	October 2014	Circle	1
Euless	October 2014	Other	1
League City	October 2014	Other	1
Keller	October 2014	Oval	1
Alvin	October 2014	Unknown	1
Nacogdoches	October 2014	Light	1
Humble	October 2014	Circle	1
Copperas Cove	October 2014	Unknown	1
Bryan	October 2014	*	2
Allen	October 2014	Triangle	1
Cypress	October 2014	Other	1
Carrollton	October 2014	*	2
San Marcos	October 2014	Triangle	1
Galveston	October 2014	Circle	2
Spring	October 2014	Light	1
Garland	October 2014	*	2
Lubbock	October 2014	Chevron	1
San Antonio	October 2014	*	2
Austin	October 2014	Disk	1
Houston	October 2014	*	2
Monaville	September 2014	Changing	1
Hillsboro	September 2014	Other	1
Haltom	September 2014	Circle	1
Pinehurst	September 2014	Light	1
Cedar Hill	September 2014	Circle	1
Lago Vista	September 2014	Diamond	1
Kemah	September 2014	Cigar	1
Sulphur Springs	September 2014	Rectangle	1
Huntsville	September 2014	Rectangle	1
Euless	September 2014	Chevron	1
Burleson	September 2014	Light	1
Kingwood	September 2014	Light	1
Mansfield	September 2014	Disk	1
Grand Prairie	September 2014	Triangle	1
Galveston	September 2014	Circle	1
Amarillo	September 2014	*	2
Lubbock	September 2014	*	2
Plano	September 2014	Unknown	1
Katy	September 2014	Changing	1
Fort Worth	September 2014	Other	1
Dallas	September 2014	Other	1
Austin	September 2014	*	3
Houston	September 2014	Formation	1
Morton	August 2014	Sphere	1
Menard	August 2014	Light	1
Von Ormy	August 2014	Light	1
Eustace	August 2014	Light	1
Comfort	August 2014	Light	1
Borger	August 2014	Light	1
Lago Vista	August 2014	Triangle	1
Atascocita	August 2014	Circle	1
Port Neches	August 2014	Light	2
Cleburne	August 2014	Light	1
Tyler	August 2014	Unknown	1
Pearland	August 2014	Cone	1
Allen	August 2014	*	2
New Braunfels	August 2014	Light	1
Cypress	August 2014	*	2
San Angelo	August 2014	Light	1
McKinney	August 2014	Rectangle	1
Amarillo	August 2014	Triangle	1
Round Rock	August 2014	Light	1
Katy	August 2014	Fireball	1
Fort Worth	August 2014	Circle	1
Austin	August 2014	*	3
Houston	August 2014	*	2
Thorndale	July 2014	Light	1
Rowlett, Sachse	July 2014	Sphere	1
Ricardo	July 2014	Other	1
Quitman	July 2014	Changing	1
Forney	July 2014	Fireball	1
Whitewright	July 2014	Egg	1
Cedar Creek	July 2014	Unknown	1
Gun Barrel City	July 2014	Light	1
Richmond	July 2014	Circle	1
Spicewood	July 2014	Circle	1
Lago Vista	July 2014	Cylinder	1
Wylie	July 2014	Cigar	1
Leander	July 2014	Light	1
Livingston	July 2014	Rectangle	1
Sugar Land	July 2014	*	2
Bastrop	July 2014	Cylinder	1
Montgomery	July 2014	*	2
Brownsville	July 2014	Diamond	1
Nacogdoches	July 2014	Other	1
Mansfield	July 2014	Circle	1
Pearland	July 2014	*	2
Bryan	July 2014	*	2
New Braunfels	July 2014	Unknown	1
Conroe	July 2014	Fireball	1
Mesquite	July 2014	*	2
San Marcos	July 2014	Light	1
Wichita Falls	July 2014	Sphere	1
College Station	July 2014	Unknown	1
McKinney	July 2014	Circle	1
Spring	July 2014	Light	1
Garland	July 2014	*	3
Round Rock	July 2014	Light	2
Katy	July 2014	*	3
Arlington	July 2014	Triangle	1
Corpus Christi	July 2014	*	3
Fort Worth	July 2014	Unknown	1
El Paso	July 2014	Light	1
San Antonio	July 2014	Sphere	1
Austin	July 2014	*	9
Houston	July 2014	*	3
Taylor	June 2014	Cylinder	1
Johnson City	June 2014	Formation	1
Wolfforth	June 2014	Light	1
Goldthwaite	June 2014	Rectangle	1
Buda	June 2014	Flash	1
Hurst	June 2014	Fireball	1
Frisco	June 2014	Triangle	1
Unknown	June 2014	Light	1
Wichita Falls	June 2014	Diamond	1
Denton	June 2014	Sphere	1
Plano	June 2014	Light	1
El Paso	June 2014	Unknown	1
Dallas	June 2014	*	2
San Antonio	June 2014	Light	1
Austin	June 2014	Cylinder	2
St. Hedwig	May 2014	Triangle	1
Peaster	May 2014	Unknown	1
Mission	May 2014	Triangle	1
Lampasas	May 2014	Circle	1
Vidor	May 2014	Oval	1
Converse	May 2014	Circle	1
Freeport	May 2014	Oval	1
Fort Stockton	May 2014	Disk	1
Dickinson	May 2014	Changing	1
Lufkin	May 2014	Circle	1
Flower Mound	May 2014	Changing	1
Texarkana	May 2014	Disk	1
Frisco	May 2014	Cigar	1
Allen	May 2014	Circle	1
Cypress	May 2014	Unknown	1
Carrollton	May 2014	Light	1
Irving	May 2014	Fireball	1
Wichita Falls	May 2014	Changing	1
McKinney	May 2014	Triangle	1
Spring	May 2014	Sphere	1
Denton	May 2014	*	2
Round Rock	May 2014	Triangle	1
Plano	May 2014	Light	1
Dallas	May 2014	Other	1
San Antonio	May 2014	Triangle	1
Warren	April 2014	Other	1
Pantego	April 2014	Circle	1
